GEOID,R16,D16,L16,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
0500000US05001,3826.0,1939.0,125.99999999999996,17149,16406,11698,4156,44,94,9,405,743,676,168,256,35,4,165,27,5,0,7,0,0,3,2,0,4,65,43,0,1,4,0,1,4,0,0,0,7,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17149,636,16513,15885,11575,4138,34,94,9,35,628,573,162,256,35,1,85,27,2,0,3,0,0,0,2,0,0,53,39,0,0,4,0,1,2,0,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13293,12864,9406,3073,36,81,0,268,429,407,46,194,28,3,107,24,0,0,0,0,0,3,2,0,0,20,12,0,1,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13293,388,12905,12525,9336,3064,26,81,0,18,380,365,46,194,28,0,71,24,0,0,0,0,0,0,2,0,0,13,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8671,7293,1378,325,231,93,0,138,0,94,0,0,94
0500000US05003,5338.0,2408.0,155.99999999999997,19062,18355,12958,4669,56,41,6,625,707,664,151,223,11,0,226,26,0,0,15,0,0,7,3,0,2,37,22,1,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19062,1114,17948,17433,12685,4644,25,41,6,32,515,484,151,212,11,0,74,26,0,0,5,0,0,0,3,0,2,28,22,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14736,14301,10261,3526,43,36,6,429,435,412,38,176,2,0,163,16,0,0,10,0,0,7,0,0,0,21,13,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14736,696,14040,13729,10118,3518,25,36,6,26,311,292,38,169,2,0,62,16,0,0,5,0,0,0,0,0,0,17,13,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9371,8019,1352,153,125,0,16,109,0,28,0,0,28
0500000US05005,14682.0,4169.0,451.99999999999994,41627,39404,38489,90,255,234,9,327,2223,2152,129,1210,115,28,628,5,4,0,13,5,0,0,9,6,0,61,19,0,0,2,1,0,27,4,5,0,0,0,3,0,0,0,0,0,0,0,9,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41627,1058,40569,38692,38049,88,218,234,9,94,1877,1848,129,1181,110,28,372,4,2,0,11,0,0,0,6,5,0,27,18,0,0,2,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34358,32755,32020,69,210,198,9,249,1603,1571,46,948,62,16,480,0,4,0,0,5,0,0,9,1,0,29,10,0,0,1,1,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34358,694,33664,32279,31755,69,185,198,9,63,1385,1369,46,934,60,16,305,0,2,0,0,0,0,0,6,0,0,14,9,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22699,18936,3763,522,484,83,0,401,0,38,0,0,38
0500000US05007,60871.0,28005.0,3871.0,284333,252922,201188,4732,5093,13721,2629,25559,31411,30082,1927,10171,1968,236,14821,106,64,24,190,33,19,315,87,105,16,1241,266,24,12,115,157,18,455,93,71,8,5,0,10,1,0,0,0,2,0,4,84,21,1,42,1,0,0,4,6,1,0,0,0,0,8,0,4,4,0,0,0,0,0,0,0,284333,50540,233793,217144,191761,4523,3799,13602,2598,861,16649,16023,1782,9593,1863,221,2157,92,57,23,58,33,14,6,87,34,3,593,243,24,7,25,149,15,29,89,4,0,0,0,4,1,0,0,0,0,0,3,33,19,1,0,1,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,208604,189198,153634,3318,3573,10024,1476,17173,19406,18723,687,7020,846,113,9505,48,18,9,99,19,11,210,60,69,9,631,122,10,6,48,63,8,285,49,26,3,0,0,6,0,0,0,0,1,0,4,48,15,0,24,0,0,0,0,1,0,0,0,0,0,8,0,4,4,0,0,0,0,0,0,0,208604,32032,176572,166197,148280,3205,2723,9967,1460,562,10375,10072,644,6749,808,102,1561,46,17,9,27,19,6,0,60,24,0,282,117,10,6,9,63,8,21,45,0,0,0,0,0,0,0,0,0,0,0,3,21,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,113088,104111,8977,3014,1463,393,110,960,0,1551,826,0,725
0500000US05009,12235.0,2926.0,378.99999999999994,37373,35045,34128,108,276,246,28,259,2328,2241,94,1374,115,7,622,3,9,0,10,2,0,5,0,0,0,84,39,0,0,4,14,0,20,2,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37373,973,36400,34456,33753,96,265,233,27,82,1944,1883,91,1338,103,5,334,3,9,0,0,0,0,0,0,0,0,58,39,0,0,0,13,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29083,27483,26787,69,221,199,17,190,1600,1552,43,1014,53,7,418,1,6,0,3,2,0,5,0,0,0,45,19,0,0,0,4,0,17,0,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29083,598,28485,27112,26563,68,213,191,17,60,1373,1343,40,996,53,5,242,1,6,0,0,0,0,0,0,0,0,27,19,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17368,15455,1913,444,324,93,35,196,0,120,0,0,120
0500000US05011,2164.0,1317.0,72.99999999999999,10545,10105,5890,2937,92,30,0,1156,440,415,118,68,12,8,190,14,2,0,0,0,0,0,2,0,1,22,5,0,0,11,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10545,1575,8970,8698,5708,2921,29,27,0,13,272,256,111,68,12,7,44,11,2,0,0,0,0,0,0,0,1,16,5,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7857,7626,4631,2171,75,27,0,722,231,211,23,62,3,4,108,9,0,0,0,0,0,0,2,0,0,19,5,0,0,8,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7857,939,6918,6776,4542,2171,26,24,0,13,142,128,20,62,3,4,32,7,0,0,0,0,0,0,0,0,0,14,5,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5073,4277,796,214,126,0,44,82,0,88,0,0,88
0500000US05013,1556.0,639.0,43.999999999999986,4739,4531,3539,913,10,6,9,54,208,203,46,88,8,0,44,7,5,0,4,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4739,127,4612,4433,3499,913,3,5,9,4,179,178,37,86,8,0,31,7,5,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3781,3652,2846,753,4,2,9,38,129,125,11,63,6,0,32,7,3,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3781,72,3709,3596,2825,753,3,2,9,4,113,112,11,63,6,0,19,7,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2444,2019,425,163,19,19,0,0,0,144,144,0,0
0500000US05015,6786.0,3342.0,237.99999999999997,28260,25902,21952,95,369,567,444,2475,2358,2266,101,869,67,17,1162,3,0,3,3,0,0,24,12,5,0,82,19,8,0,11,8,0,23,0,3,2,0,0,7,0,0,0,1,0,0,0,8,2,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,28260,4306,23954,22606,21175,88,253,564,432,94,1348,1296,92,837,64,16,267,3,0,0,3,0,0,0,12,2,0,48,14,7,0,9,8,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22082,20446,17816,69,285,380,256,1640,1636,1571,43,673,39,10,766,2,0,0,3,0,0,20,10,5,0,59,17,4,0,8,5,0,14,0,3,0,0,0,7,0,0,0,1,0,0,0,6,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22082,2711,19371,18354,17394,65,196,377,246,76,1017,976,40,657,38,9,215,2,0,0,3,0,0,0,10,2,0,39,13,4,0,7,5,0,6,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13853,11727,2126,238,188,48,0,140,0,50,33,0,17
0500000US05017,1716.0,2350.0,34.999999999999986,10208,9867,3953,5417,36,38,9,414,341,317,65,91,11,2,87,27,0,0,25,1,0,1,0,7,0,22,5,0,1,2,3,7,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10208,581,9627,9372,3887,5387,26,38,9,25,255,242,62,91,5,2,30,27,0,0,17,1,0,0,0,7,0,11,3,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8005,7785,3368,4063,21,38,9,286,220,206,38,63,5,2,57,23,0,0,9,1,0,1,0,7,0,12,3,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8005,378,7627,7449,3322,4044,16,38,9,20,178,173,35,63,5,2,28,23,0,0,9,1,0,0,0,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5104,4142,962,679,679,632,0,47,0,0,0,0,0
0500000US05019,4404.0,3620.0,195.99999999999997,21446,20333,14316,5127,96,153,18,623,1113,1063,297,372,44,0,293,23,0,1,13,0,0,6,1,11,2,36,12,11,4,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,1,0,3,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,21446,1092,20354,19490,14093,5068,76,150,16,87,864,828,283,346,44,0,111,23,0,1,8,0,0,6,0,5,1,28,12,6,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,17401,16678,11946,4057,78,130,14,453,723,684,123,289,21,0,208,19,0,1,11,0,0,6,0,5,1,26,8,6,4,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,17401,701,16700,16122,11801,4030,67,127,12,85,578,547,121,273,21,0,92,19,0,1,8,0,0,6,0,5,1,23,8,6,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9977,8170,1807,2857,192,28,0,164,0,2665,2554,0,111
